trace,level,ratio,faithfulness,retention,compression_achieved,tokens_before,tokens_after,status
session_log_validation.jsonl,4,0.8,-1,-1,0.0,0,0,"error: Client error '400 Bad Request' for url 'http://localhost:8382/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"
session_chat-bddd59dc.md,4,0.8,3,3,0.884,732,85,live
session_chat-85976843.md,4,0.8,3,3,0.868,726,96,live
session_chat-dc9369ac.md,4,0.8,3,0,0.877,723,89,live
session_chat-b5e88ba4.md,4,0.8,3,3,0.853,721,106,live
session_chat-edd232fd.md,4,0.8,2,3,0.903,718,70,live
session_chat-099e1aca.md,4,0.8,3,0,0.885,713,82,live
session_chat-cb781d0a.md,4,0.8,3,3,0.857,713,102,live
session_chat-8023f1c5.md,4,0.8,3,0,0.874,704,89,live
session_chat-c167316d.md,4,0.8,3,3,0.865,704,95,live
session_chat-e110b2db.md,4,0.8,3,3,0.92,704,56,live
session_chat-7549299d.md,4,0.8,3,3,0.885,696,80,live
session_chat-e1b5ec58.md,4,0.8,2,3,0.882,695,82,live
session_chat-5c5f2634.md,4,0.8,3,3,0.853,696,102,live
session_chat-6a5ad72c.md,4,0.8,3,3,0.89,694,76,live
session_chat-b7384676.md,4,0.8,3,0,0.882,694,82,live
session_chat-e2381e86.md,4,0.8,3,0,0.859,694,98,live
session_chat-1142aed9.md,4,0.8,3,3,0.872,689,88,live
session_chat-51b5ce25.md,4,0.8,3,3,0.868,688,91,live
session_chat-041b1180.md,4,0.8,3,3,0.889,685,76,live
